name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
C3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Cz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
C4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Pz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
PO7	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Oz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
PO8	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
